
10,01-01-2006 12:29,051225,228,AMD_01,228,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,  1.8588,  1.5922,< LOD,  0.2879, 54.0680,  0.6842,  0.0640,  0.0577,  3.8309,  0.0611,  0.0574,  0.0237,  0.1751,  0.0119,  2.6487,  0.0319,  0.1015,  0.0095,  0.0086,  0.0026,< LOD,  0.0040,  0.0368,  0.0119,  9.1391,  0.0754,< LOD,  0.0108,< LOD,  0.0025,  0.1826,  0.0067,  0.0090,  0.0021,  0.1120,  0.0042,< LOD,  0.0006,  0.0034,  0.0015,  0.0039,  0.0012,  0.0011,  0.0007,  0.0017,  0.0009,< LOD,  0.0015,  0.1050,  0.0033,,,,,,,< LOD,  0.0034,< LOD,  0.0035,,,< LOD,  0.0125,  0.0411,  0.0110,,,< LOD,  0.0265,< LOD,  0.0434,< LOD,  0.0174,< LOD,  0.0070,< LOD,  0.0076,,,,,,,,,< LOD,  0.0024,< LOD,  0.0010,< LOD,  0.0060,< LOD,  0.0011,  0.0148,  0.0031,< LOD,  0.0062,< LOD,  0.0031,< LOD,  0.0050,Passed
11,01-01-2006 12:32,051225,229,AMD_01,229,GeoChem,DualMining, 61.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.5198,  3.4119,  0.3812, 48.4824,  0.6292,< LOD,  0.0504,  1.7604,  0.0451,  0.0704,  0.0248,  0.5278,  0.0166,  2.3444,  0.0302,  0.9621,  0.0183,  0.0130,  0.0036,< LOD,  0.0040,  0.0282,  0.0114, 11.9058,  0.0841,< LOD,  0.0125,  0.0063,  0.0028,  0.0105,  0.0021,  0.0064,  0.0020,  0.0734,  0.0035,< LOD,  0.0006,  0.0082,  0.0018,  0.0033,  0.0012,  0.0012,  0.0007,  0.0128,  0.0011,  0.0017,  0.0014,  0.1031,  0.0036,,,,,,,< LOD,  0.0043,< LOD,  0.0037,,,< LOD,  0.0140,  0.0728,  0.0118,,,< LOD,  0.0275,< LOD,  0.0326,< LOD,  0.0167,< LOD,  0.0038,< LOD,  0.0079,  0.0166,  0.0091,,,,,,,< LOD,  0.0025,< LOD,  0.0011,< LOD,  0.0064,< LOD,  0.0011,  0.0128,  0.0025,< LOD,  0.0064,< LOD,  0.0031,< LOD,  0.0053,Passed
12,01-01-2006 12:35,051225,230,AMD_01,230,GeoChem,DualMining, 60.0,2.4608, 0.0,2.4858, 0.0,2.4668, 0.0,,,  3.2938,  2.0092,  4.7654,  0.4309, 18.8330,  0.4274,  0.0907,  0.0690,  0.4279,  0.0268,< LOD,  0.0249,< LOD,  0.0112, 17.3772,  0.0836,  0.3143,  0.0167,  0.0291,  0.0072,< LOD,  0.0057,  1.1102,  0.0354, 15.8417,  0.1068,< LOD,  0.0129,  0.0050,  0.0031,< LOD,  0.0018,< LOD,  0.0015,  0.0071,  0.0016,< LOD,  0.0006,< LOD,  0.0022,  0.0123,  0.0012,  0.0030,  0.0008,< LOD,  0.0010,< LOD,  0.0017,  0.0028,  0.0026,,,,,,,< LOD,  0.0103,< LOD,  0.0043,,,< LOD,  0.0172,< LOD,  0.0144,,,< LOD,  0.0328,< LOD,  0.0382,< LOD,  0.0204,< LOD,  0.0035,< LOD,  0.0118,< LOD,  0.0076,,,,,,,< LOD,  0.0018,< LOD,  0.0007,< LOD,  0.0062,< LOD,  0.0011,< LOD,  0.0018,< LOD,  0.0073,< LOD,  0.0028,< LOD,  0.0060,Passed
13,01-01-2006 12:38,051225,231,AMD_01,231,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.4702,  2.8802,  0.3617, 62.4569,  0.7401,< LOD,  0.0597,  1.0295,  0.0330,< LOD,  0.0220,  0.1949,  0.0134,  5.5077,  0.0457,  0.1928,  0.0107,  0.0087,  0.0023,< LOD,  0.0040,  0.3688,  0.0209,  3.3290,  0.0445,< LOD,  0.0068,< LOD,  0.0019,  1.2248,  0.0151,  0.0753,  0.0035,  0.0700,  0.0030,< LOD,  0.0005,  0.0019,  0.0011,  0.0037,  0.0010,< LOD,  0.0006,  0.0018,  0.0008,< LOD,  0.0008,  0.0017,  0.0017,,,,,,,  0.0070,  0.0017,  0.0030,  0.0028,,,< LOD,  0.0111,  0.4841,  0.0120,,,< LOD,  0.0230,< LOD,  0.0371,< LOD,  0.0177,< LOD,  0.0158,< LOD,  0.0142,< LOD,  0.0096,,,,,,,< LOD,  0.0032,< LOD,  0.0011,< LOD,  0.0057,< LOD,  0.0010,< LOD,  0.0020,< LOD,  0.0053,< LOD,  0.0030,< LOD,  0.0049,Passed
14,01-01-2006 12:40,051225,232,AMD_01,232,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.4523,  3.8830,  0.3856, 64.7450,  0.7550,< LOD,  0.0545,  0.8118,  0.0303,  0.0231,  0.0225,  0.2136,  0.0132,  3.6650,  0.0377,  0.3023,  0.0117,  0.0055,  0.0020,< LOD,  0.0037,  0.4329,  0.0221,  4.0860,  0.0483,< LOD,  0.0076,< LOD,  0.0019,  1.1013,  0.0141,  0.0782,  0.0035,  0.0751,  0.0030,< LOD,  0.0005,  0.0017,  0.0010,  0.0027,  0.0009,< LOD,  0.0006,  0.0015,  0.0008,< LOD,  0.0007,< LOD,  0.0016,,,,,,,  0.0056,  0.0011,  0.0030,  0.0027,,,< LOD,  0.0106,  0.4015,  0.0106,,,< LOD,  0.0220,< LOD,  0.0260,< LOD,  0.0173,< LOD,  0.0150,< LOD,  0.0084,< LOD,  0.0101,,,,,,,< LOD,  0.0032,< LOD,  0.0012,< LOD,  0.0060,< LOD,  0.0010,< LOD,  0.0019,< LOD,  0.0048,< LOD,  0.0029,< LOD,  0.0041,Passed
15,01-01-2006 12:43,051225,233,AMD_01,233,GeoChem,DualMining, 60.0,1.439, 0.0,1.4767, 0.0,1.4542, 0.0,,,< LOD,  1.5324,  7.7630,  0.5738, 30.9031,  0.5364,< LOD,  0.0568,  1.9526,  0.0550,< LOD,  0.0282,  0.5514,  0.0192,  1.4353,  0.0272,  0.3765,  0.0152,  0.0120,  0.0050,< LOD,  0.0048,  0.0229,  0.0113, 23.3897,  0.1167,< LOD,  0.0172,< LOD,  0.0045,  4.8999,  0.0383,  0.0599,  0.0065,  0.2214,  0.0058,< LOD,  0.0009,  0.0064,  0.0019,  0.0027,  0.0011,  0.0016,  0.0010,  0.0043,  0.0009,< LOD,  0.0016,  0.0028,  0.0021,,,,,< LOD,  0.0026,  0.0075,  0.0059,< LOD,  0.0035,,,< LOD,  0.0127,  0.1779,  0.0150,,,< LOD,  0.0253,< LOD,  0.0477,< LOD,  0.0199,< LOD,  0.0266,< LOD,  0.0077,< LOD,  0.0093,,,,,,,< LOD,  0.0027,< LOD,  0.0010,  0.0150,  0.0075,< LOD,  0.0020,  0.0081,  0.0021,  0.0069,  0.0056,< LOD,  0.0025,< LOD,  0.0042,Passed
16,01-01-2006 12:45,051225,234,AMD_01,234,GeoChem,DualMining, 60.0,1.439, 0.0,1.4361, 0.0,1.4767, 0.0,,,< LOD,  1.8957,  4.0762,  0.5347, 23.2233,  0.4826,  0.7867,  0.0797,  1.8614,  0.0580,< LOD,  0.0309,< LOD,  0.0104,  3.4036,  0.0400,  0.3807,  0.0178,  0.0169,  0.0062,< LOD,  0.0051,  0.6836,  0.0277, 39.8504,  0.1603,< LOD,  0.0217,  0.0076,  0.0047,  0.5562,  0.0149,  0.0511,  0.0057,  0.0058,  0.0020,  0.0024,  0.0011,  0.0049,  0.0021,  0.0060,  0.0012,  0.0013,  0.0011,  0.0062,  0.0010,< LOD,  0.0017,  0.0105,  0.0024,,,,,,,< LOD,  0.0067,< LOD,  0.0034,,,< LOD,  0.0127,  0.0189,  0.0125,,,< LOD,  0.0259,< LOD,  0.0517,< LOD,  0.0180,< LOD,  0.0096,< LOD,  0.0070,< LOD,  0.0084,,,,,,,< LOD,  0.0022,< LOD,  0.0009,< LOD,  0.0053,< LOD,  0.0015,  0.0069,  0.0020,  0.0090,  0.0048,< LOD,  0.0023,< LOD,  0.0033,Passed
17,01-01-2006 12:50,051225,235,AMD_01,235,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.7559,  6.7413,  0.4912, 46.7523,  0.6443,  0.2738,  0.0644,  0.1189,  0.0239,< LOD,  0.0262,  0.0243,  0.0101,  4.2240,  0.0415,  1.1658,  0.0213,  0.0170,  0.0044,< LOD,  0.0043,  0.1102,  0.0141, 15.6668,  0.0946,< LOD,  0.0143,< LOD,  0.0026,  0.1532,  0.0062,  0.0094,  0.0024,  0.0077,  0.0015,< LOD,  0.0007,< LOD,  0.0014,  0.0138,  0.0012,< LOD,  0.0007,  0.0072,  0.0010,< LOD,  0.0012,  0.0031,  0.0020,,,,,,,< LOD,  0.0043,< LOD,  0.0031,,,< LOD,  0.0122,  0.0169,  0.0092,,,< LOD,  0.0300,< LOD,  0.0316,< LOD,  0.0188,< LOD,  0.0063,< LOD,  0.0072,,,,,,,,,< LOD,  0.0022,< LOD,  0.0009,< LOD,  0.0060,< LOD,  0.0010,< LOD,  0.0017,< LOD,  0.0051,< LOD,  0.0027,< LOD,  0.0040,Passed
18,01-01-2006 12:54,051225,236,AMD_01,236,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.3671,  2.4691,  0.3815, 13.2025,  0.3515,  1.9243,  0.0851,  0.3611,  0.0474, 27.8151,  0.1695,  0.5250,  0.0169,  3.0642,  0.0406,< LOD,  0.0214,< LOD,  0.0083,< LOD,  0.0060,  0.2159,  0.0167,  7.8261,  0.0698,  0.0148,  0.0105,  0.0187,  0.0040,  0.2045,  0.0075,  0.0577,  0.0045,  0.1154,  0.0046,< LOD,  0.0008,  0.0189,  0.0032,  0.1051,  0.0031,  0.0022,  0.0010,< LOD,  0.0015,< LOD,  0.0029,  0.0045,  0.0036,,,,,,,  0.1078,  0.0136,< LOD,  0.0065,,,  0.0461,  0.0237,  0.0707,  0.0197,,,  3.5505,  0.0828,< LOD,  0.0560,  0.2184,  0.0263,< LOD,  0.0087,< LOD,  0.0086,< LOD,  0.0111,,,,,,,< LOD,  0.0028,< LOD,  0.0011,  0.0138,  0.0085,< LOD,  0.0014,  0.0105,  0.0025,< LOD,  0.0116,< LOD,  0.0036,< LOD,  0.0067,Passed
19,01-01-2006 13:01,051225,237,AMD_01,237,GeoChem,DualMining, 61.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.8132,< LOD,  0.2889,  3.5994,  0.2286,  2.2455,  0.0878,  0.7716,  0.0538, 35.7162,  0.1897,  0.0739,  0.0104,  6.6469,  0.0564,< LOD,  0.0268,< LOD,  0.0124,< LOD,  0.0069,  0.3645,  0.0211,  3.6287,  0.0498,< LOD,  0.0070,  0.0155,  0.0036,  0.2297,  0.0081,  0.0766,  0.0050,  0.0924,  0.0042,< LOD,  0.0010,  0.0042,  0.0029,  0.1409,  0.0036,  0.0016,  0.0011,< LOD,  0.0014,< LOD,  0.0028,< LOD,  0.0035,,,,,< LOD,  0.0038,  0.0728,  0.0140,< LOD,  0.0066,,,  0.0657,  0.0243,  0.0319,  0.0199,,,  9.6277,  0.1349,< LOD,  0.0368,  0.6202,  0.0338,< LOD,  0.0096,< LOD,  0.0081,< LOD,  0.0115,,,,,,,< LOD,  0.0028,< LOD,  0.0011,  0.0076,  0.0075,< LOD,  0.0015,  0.0065,  0.0024,< LOD,  0.0121,  0.0049,  0.0035,< LOD,  0.0064,Passed
20,01-01-2006 13:04,051225,238,AMD_01,238,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  2.0238,  0.5761,  0.3484,  6.9277,  0.2967,  1.4993,  0.0865,  2.3384,  0.0688, 25.5003,  0.1660,  0.1112,  0.0131,  5.6665,  0.0532,  0.1426,  0.0357,< LOD,  0.0152,< LOD,  0.0077,  1.2739,  0.0368, 10.2689,  0.0848,< LOD,  0.0107,  0.0246,  0.0048,  0.2835,  0.0095,  0.1072,  0.0062,  0.0999,  0.0045,< LOD,  0.0010,  0.0029,  0.0027,  0.2369,  0.0044,  0.0017,  0.0012,< LOD,  0.0015,< LOD,  0.0031,< LOD,  0.0031,,,,,< LOD,  0.0034,  0.0144,  0.0111,  0.0061,  0.0057,,,  0.0449,  0.0209,  0.0460,  0.0185,,,  9.8659,  0.1319,< LOD,  0.0347,  0.7128,  0.0377,< LOD,  0.0095,< LOD,  0.0080,< LOD,  0.0118,,,,,,,< LOD,  0.0030,< LOD,  0.0011,< LOD,  0.0070,< LOD,  0.0020,  0.0121,  0.0027,< LOD,  0.0103,  0.0055,  0.0033,  0.0061,  0.0060,Passed
21,01-01-2006 13:07,051225,239,AMD_01,239,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.2723,  1.1736,  0.3467, 14.7719,  0.3689,  1.7193,  0.0832,  0.5657,  0.0478, 26.2557,  0.1636,  0.1106,  0.0115,  3.5965,  0.0428,< LOD,  0.0219,< LOD,  0.0091,< LOD,  0.0063,  0.1615,  0.0155,  3.9110,  0.0495,< LOD,  0.0076,  0.0035,  0.0031,  3.2026,  0.0284,  0.0164,  0.0039,  0.0797,  0.0039,< LOD,  0.0009,  0.0029,  0.0027,  0.1411,  0.0035,  0.0016,  0.0010,< LOD,  0.0015,< LOD,  0.0033,< LOD,  0.0034,,,,,< LOD,  0.0038,  0.0310,  0.0118,< LOD,  0.0062,,,  0.0285,  0.0228,  0.0907,  0.0195,,,  5.1738,  0.0983,< LOD,  0.0363,  0.3156,  0.0289,< LOD,  0.0279,< LOD,  0.0083,,,,,,,,,< LOD,  0.0025,< LOD,  0.0010,  0.0302,  0.0095,< LOD,  0.0015,  0.0060,  0.0024,< LOD,  0.0118,< LOD,  0.0036,< LOD,  0.0078,Passed
22,01-01-2006 13:11,051225,240,AMD_01,240,GeoChem,DualMining, 60.0,No Match, 0.0,,0.0,,0.0,,,< LOD,  1.4017,  1.3196,  0.3544,  9.8585,  0.3262,  1.5702,  0.0851,  1.7793,  0.0602, 24.6043,  0.1607,  0.2022,  0.0137,  6.3943,  0.0551,  0.2500,  0.0329,< LOD,  0.0136,< LOD,  0.0071,  0.7420,  0.0287,  7.2626,  0.0707,< LOD,  0.0092,  0.0083,  0.0034,  0.2738,  0.0090,  0.0793,  0.0052,  0.0512,  0.0034,< LOD,  0.0009,  0.0054,  0.0028,  0.2600,  0.0045,< LOD,  0.0010,< LOD,  0.0016,< LOD,  0.0031,< LOD,  0.0032,,,,,< LOD,  0.0036,  0.0281,  0.0118,< LOD,  0.0060,,,  0.0516,  0.0217,  0.0958,  0.0196,,,  7.7215,  0.1171,< LOD,  0.0361,  0.6500,  0.0350,< LOD,  0.0096,< LOD,  0.0082,< LOD,  0.0112,,,,,,,< LOD,  0.0029,< LOD,  0.0011,< LOD,  0.0073,< LOD,  0.0015,  0.0093,  0.0026,< LOD,  0.0112,  0.0094,  0.0034,< LOD,  0.0064,Passed
